Date,Close,Volume,MOM (1),MOM (3),ADX (14),ADX (20),WILLR,RSI (6),RSI (12),MACD,MACD (Signal),MACD (Historical),EMA (6),EMA (12),Conf. Time,Block Size,TXN Cost,Difficulty,TXNs per Day,Hash Rate (GH/s),Market Cap,Miners Revenue,TXNs per Block,Unique Addresses,Total BTC,TXN Fees,Trend
2018-01-09,14403.51,204579121.58441,-596.4799999999996,-2746.159999999998,23.835171707655793,23.92823683284813,-54.60916993089669,39.7080366540427,46.57060367065169,334.59772179196443,416.1975841033294,-81.59986231136497,15291.666200312036,15240.880004319328,14.87,1.05,122.31,1931136454487.0,345672.0,15935554.09,256324304949.0,41050023.02,2082.36,895996.0,16790637.5,10602575.28,1.0
2018-01-08,14999.99,251877784.14267,-1124.0300000000007,-1928.0100000000002,24.459871110131818,24.685042737124352,-43.10519403123248,45.15393572440328,49.588033240299,446.62503088419726,436.5975496811706,10.027481203026639,15646.928680436851,15393.12909601375,14.3,1.04,122.61,1931136454487.0,368187.0,15551564.84,279554272793.0,43826673.42,2272.75,910004.0,16788562.5,11424807.87,-1.0
2018-01-07,16124.02,141555094.16036,-1025.6499999999978,980.3500000000004,25.13262431279831,25.481680531099325,-21.426656560571974,57.54830680681172,55.83752807788608,522.3837413126967,434.090679380414,88.29306193228268,15905.704152611592,15464.608931652614,9.76,1.05,134.87,1931136454487.0,358847.0,16127548.72,290729366697.0,46900388.18,2135.99,889098.0,16786537.5,12027800.35,-1.0
2018-01-06,17149.67,158389594.51445,221.66999999999825,1994.0499999999975,27.01452524726796,26.671438066276142,-1.6455190848970453,72.72833442396994,62.41721345102005,497.0344045677957,412.0174138973433,85.0169906704524,15818.377813656229,15344.716010134907,9.48,1.06,124.72,1931136454487.0,342707.0,13727615.87,288257943758.0,41569957.46,2396.55,888402.0,16784437.5,12045172.46,-1.0
2018-01-05,16928.0,259695892.85336,1784.33,2249.0599999999995,28.62317171775873,27.715581383752998,-5.281553398058253,71.36809043334027,61.518862524164305,353.02002341968364,390.7631662297302,-37.74314281004655,15285.86093911872,15016.542557432163,13.95,1.06,102.93,1931136454487.0,425008.0,16127548.72,255085455191.0,42527795.29,2529.8,1054711.0,16782650.0,11829066.66,1.0
2018-01-04,15143.67,222160244.4909,-11.950000000000728,1700.2600000000002,30.38034716304932,28.826933316218668,-25.125972871429678,56.97206191334333,53.27833419767904,186.64050386816962,400.1989519322418,-213.5584480640722,14629.00531476621,14669.004840601649,9.55,1.06,103.1,1931136454487.0,395963.0,15071578.27,252602010061.0,39612658.07,2522.05,937530.0,16780550.0,11285211.58,1.0
2018-01-03,15155.62,183639413.73724,476.6800000000003,1275.6200000000008,31.769337139372755,30.0207061204985,-34.724173533467045,57.13238135548795,53.34846895244283,153.24220067524402,453.5885639482599,-300.34636327301587,14423.139440672694,14582.702084347402,7.98,1.04,122.63,1931136454487.0,340980.0,16415540.66,251777079094.0,40553327.64,1994.03,850801.0,16778587.5,9741276.58,-1.0
2018-01-02,14678.94,229138844.07687998,1235.5300000000007,2038.9400000000005,33.514709769465874,31.40877607831157,-48.17417198939038,52.708706171167364,50.98938576808799,107.16811622645218,528.6751547665139,-421.50703854006167,14130.147216941772,14478.535190592384,13.9,1.04,138.22,1922580604980.0,241757.0,14975580.95,231719459004.0,32334328.98,1549.72,593282.0,16776450.0,6483620.48,1.0
2018-01-01,13443.41,102815718.45172,-436.59000000000015,-896.5900000000001,35.19207693571132,32.77374190413498,-71.45956809642965,39.144321422925216,44.29677624237375,95.33671220306678,634.0519144015293,-538.7152021984625,13910.63010371848,14442.097952518272,9.13,1.03,125.97,1873105475221.0,290422.0,15177350.24,237620437837.00006,35435185.86,1781.73,678712.0,16774500.0,7722285.67,1.0
2017-12-31,13880.0,154552644.47156,1240.0,-590.0699999999997,35.81038532757208,33.6556538014794,-66.25252634282332,42.75551063740025,46.34679076288655,204.64824070844406,768.7307149511449,-564.0824742427009,14097.518145205873,14623.677580248866,10.69,1.03,100.38,1873105475221.0,344407.0,13687548.99,221657719331.0,33640243.61,2342.9,815099.0,16772462.5,10289264.11,-1.0
2017-12-30,12640.0,285985550.32365,-1700.0,-2724.9300000000003,36.47625590342212,34.58398211447353,-82.59983752778898,26.764788777343025,38.99660795371888,296.7399990450049,909.7513335118201,-613.0113344668152,14184.525403288222,14758.89168574866,8.06,1.04,117.85,1873105475221.0,353824.0,15363575.4,245524297888.0,40531227.58,2144.38,838925.0,16770625.0,11504149.53,1.0
2017-12-29,14340.0,195727638.76896,-130.0699999999997,-1424.4400000000005,37.193347292799096,35.56116981236208,-62.61410968872817,39.310230788068154,47.10665510853686,536.2208978811959,1063.004167128524,-526.783269247328,14802.33556460351,15144.144719521144,9.8,1.08,124.84,1873105475221.0,305053.0,13873774.15,241141682464.0,37008426.91,2047.33,741488.0,16768562.5,11300748.45,-1.0
2017-12-28,14470.07,234428578.53875,-894.8600000000006,558.789999999999,39.06398407103057,37.23211344001912,-61.084966382830146,40.52125264681744,47.803923124378414,660.9951229720264,1194.6999844403558,-533.7048614683295,14987.269790444916,15290.35285034317,8.13,1.06,138.58,1873105475221.0,307642.0,14525562.2,261381479588.00006,41529952.91,1972.06,749191.0,16766700.0,12234766.58,-1.0
2017-12-27,15364.93,241860985.13002998,-399.5100000000002,1207.0599999999995,41.07851598604907,38.991001469131795,-50.5647143745584,49.21338512481372,52.725791299649906,797.3944412083656,1328.1261998074383,-530.7317585990727,15194.149706622882,15439.4951867692,13.37,1.05,161.68,1873105475221.0,247440.0,13221986.1,268220045546.0,38893686.49,1742.53,605853.0,16764750.0,11609290.53,-1.0
2017-12-26,15764.44,230922569.15497002,1853.1599999999999,1145.4400000000005,43.87359514748476,40.884684160236056,-45.867950769274174,53.48152420983665,55.0451587874289,868.7780882488078,1460.8091394572064,-592.0310512083986,15125.837589272036,15453.052493454508,10.5,1.05,146.59,1873105475221.0,228926.0,12570198.05,236676918976.0,32706729.13,1695.74,565074.0,16762975.0,9733579.23,-1.0
2017-12-25,13911.28,161347357.0787,-246.59000000000015,-98.51000000000022,46.64046612720837,42.99705871407714,-67.65427512352943,30.02186449282095,44.70201777971472,906.575425551353,1608.816902259306,-702.2414767079531,14870.39662498085,15396.43658317351,10.86,1.06,138.78,1873105475221.0,279523.0,14153111.88,233806132563.0,37634874.15,1838.96,652209.0,16761287.5,12290916.08,1.0
2017-12-24,14157.87,250476423.64496002,-461.1299999999992,-1442.1399999999994,48.42122020104797,44.720765385558444,-64.75528651892118,31.80017259083277,45.99275974221115,1130.3174026094912,1784.3772714362944,-654.0598688268033,15254.04327497319,15666.46505284142,14.01,1.06,139.69,1873105475221.0,308211.0,12942648.37,257428577373.0,41833672.64,2217.34,729637.0,16759387.5,16368134.37,-1.0
2017-12-23,14619.0,322120599.55537003,609.2099999999991,-1847.9799999999996,50.31259806994193,46.52256722476635,-59.33409906102348,35.034073046666435,48.38776935032181,1374.3452001984697,1947.8922386429954,-573.5470384445257,15692.512584962466,15940.755062448952,16.5,1.06,137.02,1873105475221.0,380648.0,14432449.62,254564539479.00006,51049170.67,2455.79,890731.0,16757650.0,22724840.66,-1.0
2017-12-22,14009.79,772143020.63877,-1590.2199999999993,-3690.209999999999,52.88736719370546,48.76005239006394,-66.49616097680831,26.84353817733066,44.913887869048544,1618.8715134818758,2091.2789982541267,-472.4074847722509,16121.917618947453,16181.074164712398,10.84,1.03,132.91,1873105475221.0,335482.0,12290860.32,268887463901.0,43552942.14,2541.53,840739.0,16755712.5,18113814.19,1.0
2017-12-21,15600.01,326730689.64542997,-866.9699999999993,-3340.5599999999995,55.66019548083541,51.11529993248246,-58.37787780242499,36.98695089271958,53.53591120203159,1969.4574404220511,2209.3808694471895,-239.92342902513838,16966.768666526434,16575.853103751015,11.25,1.07,113.03,1873105475221.0,370277.0,12663310.63,268505157145.0,40786861.39,2722.62,853863.0,16754062.5,14609416.91,-1.0
2017-12-20,16466.98,521350550.60848,-1233.0200000000004,-2486.0200000000004,58.471840102991266,52.34202467926779,-45.930265113173824,44.652765497392046,59.217024094792556,2226.3726062195565,2269.3617267034742,-42.98912048391776,17513.472133137006,16753.279122614837,9.9,1.06,113.02,1873105475221.0,378622.0,13035760.95,297138524343.0,41629001.08,2704.44,887697.0,16752362.5,11752530.46,-1.0
2017-12-19,17700.0,387206242.38184,-1240.5699999999997,-1487.7799999999988,61.164596192082946,53.441786968096096,-24.55596912392895,59.19271271053205,68.72480657110094,2433.632870837906,2280.1090068244534,153.52386401345257,17932.06898639181,16805.33350854481,11.45,1.04,137.66,1718045833480.0,394239.0,16946489.23,317622713304.0,52600190.39,2166.14,922523.0,16750612.5,11132989.26,-1.0
