Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-05-15,8674.53,8865.0,8400.0,8450.0,12299.98280919,106257172.25703001,8638.806566269399
2018-05-14,8696.54,8900.9,8286.57,8674.36,18861.93709627,162135043.55328,8595.885074038199
2018-05-13,8481.72,8775.9,8335.56,8696.58,9835.22450915,84280724.776146,8569.2730956713
2018-05-12,8408.79,8652.8,8208.81,8481.6,15464.92940302,130051000.66483,8409.4144419071
2018-05-11,9007.19,9018.38,8351.0,8411.42,20383.92660992,177279927.97773,8697.0450478102
2018-05-10,9308.49,9393.0,8987.74,9020.99,11764.9775057,108645338.13022,9234.6405318313
2018-05-09,9181.52,9368.79,8974.62,9308.49,11368.83432539,104305920.46484001,9174.7242927007
2018-05-08,9356.79,9450.0,9015.0,9167.69,11418.31053651,105415298.02853,9232.1274405229
2018-05-07,9621.99,9634.5,9175.0,9359.52,13616.3485933,127010639.84781002,9327.804659048
2018-05-06,9827.04,9918.41,9375.0,9623.54,8155.5768566,78150008.853271,9582.4011259274
2018-05-05,9689.0,9948.98,9670.68,9823.28,7403.10502352,72754286.992702,9827.5367918675
2018-05-04,9737.0,9784.73,9527.38,9696.57,7326.05207111,70716940.700585,9652.8034491394
2018-05-03,9220.0,9799.99,9165.19,9732.43,11670.79957863,109943721.45048,9420.4103763199
2018-05-02,9066.9,9259.16,8975.23,9222.0,10575.17497792,96344037.23870799,9110.3965125745
2018-05-01,9243.51,9249.99,8815.91,9066.9,12138.2639605,109028331.06583,8982.2013609711
2018-04-30,9396.32,9443.96,9111.0,9242.17,8085.68829456,74978446.896002,9272.9826038987
2018-04-29,9352.97,9538.75,9180.0,9393.99,10940.71803063,102349678.47088,9354.9324810618
2018-04-28,8916.54,9442.34,8854.47,9345.11,15558.40230193,143728558.94878,9238.00247349
2018-04-27,9277.32,9387.82,8901.09,8921.43,11375.51437547,104644754.13741,9199.122842573199
2018-04-26,8855.07,9326.79,8647.29,9274.48,20042.96970211,178009104.46868998,8881.3737242717
2018-04-25,9648.36,9755.53,8751.0,8864.99,33035.90404482,303220038.55606,9178.4997966055
2018-04-24,8942.0,9737.16,8930.0,9648.0,20460.50898304,190711801.44706002,9320.9705391561
2018-04-23,8781.7,9006.39,8771.22,8946.95,10286.1177149,91446649.756223,8890.2978063102
2018-04-22,8924.93,9036.52,8760.0,8789.96,9346.45175925,83089020.81001501,8889.8999267592
2018-04-21,8865.78,9023.4,8608.0,8920.71,15336.30792743,134950187.05403,8799.3921152734
2018-04-20,8273.0,8934.0,8216.9,8861.0,16059.62267134,136267900.23543,8485.124652312801
2018-04-19,8172.83,8297.99,8074.44,8271.31,9436.84632763,77478927.09225,8210.256308339
2018-04-18,7890.87,8235.0,7870.35,8172.84,9227.20459808,74525247.423281,8076.687433460501
2018-04-17,8054.68,8160.85,7806.81,7890.87,9277.15121538,74462014.273664,8026.3879013008
2018-04-16,8353.43,8424.99,7905.0,8048.15,10866.60295749,87993966.21064201,8097.651727487701
2018-04-15,8003.39,8417.0,8001.23,8354.22,7542.84081564,62269321.050527,8255.420281628101
2018-04-14,7885.9,8232.14,7835.0,8000.41,8935.53071477,71681139.862327,8022.0349692091
2018-04-13,7923.78,8239.33,7753.32,7896.92,19605.94275077,157461506.31628,8031.3152148775
2018-04-12,6940.94,8069.34,6758.45,7923.78,19033.3803344,143664243.10143,7548.015149036601
2018-04-11,6824.75,6984.92,6809.26,6940.94,5825.41064556,40165964.25783,6894.958433264001
2018-04-10,6782.39,6900.0,6653.21,6835.67,6480.19276418,43978750.446789004,6786.6423187110995
2018-04-09,7027.26,7175.83,6611.49,6780.1,10103.91621615,69104966.965091,6839.423990337
2018-04-08,6904.21,7104.52,6894.8,7027.26,4352.69794202,30482451.722745,7003.1167172144
2018-04-07,6627.7,7069.13,6600.99,6904.9,7683.041652600001,52984840.498486,6896.336489410401
2018-04-06,6771.3,6850.0,6510.0,6618.33,8478.41806897,56294477.899358,6639.7383853231995
2018-04-05,6799.37,6928.7,6578.95,6771.69,11894.53597807,80262665.41437,6747.8601571638
2018-04-04,7415.53,7430.0,6710.38,6799.95,15779.20246661,110954121.83853,7031.6685569702
2018-04-03,7052.75,7506.84,7001.28,7416.27,16089.54162903,118019785.63286999,7335.186318790699
2018-04-02,6816.31,7106.5,6759.96,7052.76,13624.16035566,95159965.01743901,6984.6480467992005
2018-04-01,6926.5,7045.71,6427.16,6813.52,18046.94087395,121116431.40303999,6711.1890180716
2018-03-31,6839.63,7231.73,6794.26,6928.62,11579.59705718,81326187.467914,7023.2312114425
2018-03-30,7086.14,7302.35,6550.0,6850.0,29101.44802706,199556780.67169,6857.2801080597
2018-03-29,7932.41,7968.0,6914.53,7088.38,22138.11413228,163975079.77115,7406.912747461899
2018-03-28,7791.69,8104.98,7723.03,7932.41,8437.64467971,66890222.85988001,7927.5941804862
2018-03-27,8152.26,8211.62,7742.11,7791.7,12385.25028422,98488415.189242,7952.0730650656005
2018-03-26,8451.12,8500.0,7831.15,8149.66,17693.4153393,145246518.5356,8209.0718920153
2018-03-25,8541.96,8680.0,8368.63,8453.9,9155.91214778,78013217.68781,8520.529296114499
2018-03-24,8917.99,9020.0,8505.0,8547.0,9731.98236841,85811618.322075,8817.4860037375
2018-03-23,8708.52,8920.79,8265.0,8920.79,13749.78486097,117134344.45483999,8518.9947071347
2018-03-22,8892.18,9099.59,8503.52,8704.67,12587.63392229,109923828.12971,8732.683902974
2018-03-21,8904.02,9188.1,8754.83,8893.79,12100.99713332,108594771.1013,8974.0349414909
2018-03-20,8596.79,9051.0,8313.01,8904.02,13454.8222604,116496170.95306002,8658.321061284201
2018-03-19,8205.55,8718.74,8114.17,8596.93,19396.08835883,162448296.1943,8375.3122376525
2018-03-18,7860.83,8324.92,7325.37,8188.24,19547.36114711,150315447.64235,7689.807668211701
2018-03-17,8258.54,8356.4,7730.23,7860.83,12048.668891399999,97294029.179732,8075.0853108079
2018-03-16,8265.05,8613.06,7914.08,8258.54,16498.62433531,137219222.82076,8317.009953799
2018-03-15,8195.99,8425.0,7682.0,8265.05,18387.61138793,148610946.85018998,8082.123540404
2018-03-14,9152.07,9356.14,7948.0,8196.69,21191.0231358,182210730.8525,8598.4867122662
2018-03-13,9115.24,9482.79,8830.0,9142.32,16001.47534639,146461539.24624,9153.0022123416
2018-03-12,9535.04,9892.0,8742.07,9120.75,18751.02057959,175103380.07353002,9338.338642971199
2018-03-11,8795.04,9768.37,8450.0,9535.04,16407.54237557,149758874.76874,9127.4409866357
2018-03-10,9228.83,9514.96,8697.0,8791.47,12886.58857926,118146982.45276001,9168.212496743
2018-03-09,9293.06,9420.39,8366.0,9230.0,29014.16684454,257069817.5836,8860.1481807492
2018-03-08,9904.52,10150.0,9078.95,9285.32,22522.42746991,217370120.91965,9651.2741004519
2018-03-07,10723.01,10911.78,9450.0,9913.03,26116.51184803,264099759.77855,10112.367276125
2018-03-06,11417.39,11420.01,10560.19,10723.76,14734.41949313,161507885.73288,10961.26561404
2018-03-05,11479.68,11688.0,11383.66,11419.24,9933.67623336,114638102.23711,11540.350172892
2018-03-04,11445.0,11511.0,11054.91,11463.27,6831.63070279,77060624.278291,11279.975108552
2018-03-03,11032.81,11503.24,11022.85,11445.0,7786.26753951,88241259.77629201,11332.934468091002
2018-03-02,10917.37,11175.0,10774.01,11029.99,8329.09790086,91455982.504959,10980.298658216
2018-03-01,10314.99,11090.0,10223.41,10903.13,9481.66514611,101712406.72716999,10727.272600309001
2018-02-28,10572.49,11064.75,10255.07,10314.9,10490.74905816,111457734.83117,10624.382893275999
2018-02-27,10329.99,10850.0,10150.0,10566.3,10408.47993775,110086762.79583001,10576.641685839
2018-02-26,9595.99,10461.97,9376.34,10324.7,16156.80505618,162306362.38799,10045.69664755
2018-02-25,9688.26,9883.41,9260.0,9590.04,11037.17695269,105367249.24681999,9546.576058213499
2018-02-24,10135.2,10540.63,9373.48,9689.99,13972.71472351,137805304.51942,9862.4574570004
2018-02-23,9843.33,10405.3,9600.0,10166.1,16044.03930333,160782973.04507,10021.352478967
2018-02-22,10446.79,10935.0,9731.2,9843.34,20204.69095384,206051152.36005,10198.183819332
2018-02-21,11233.42,11275.74,10256.0,10449.4,19959.67715652,215353691.93532,10789.437637019
2018-02-20,11159.12,11780.0,11080.37,11233.41,15880.9090398,182156478.01967,11470.154357231999
2018-02-19,10433.68,11262.48,10307.51,11173.0,11698.25622611,127802568.07185,10924.92467267
2018-02-18,11101.0,11300.0,10153.15,10421.06,17623.07943135,188724919.34455,10708.963781257
2018-02-17,10203.14,11135.83,10053.5,11101.0,14511.16913676,155314935.17762,10703.130375909
2018-02-16,10011.3,10300.0,9707.51,10196.0,11857.64277513,118860367.74258001,10023.945736658
2018-02-15,9490.98,10234.0,9350.0,10018.0,21036.3373175,206814744.84787,9831.3095918947
2018-02-14,8504.57,9515.0,8504.57,9490.98,17468.73886593,158839393.2453,9092.7796485121
2018-02-13,8891.2,8951.89,8360.13,8522.99,11374.52415254,97689771.64304699,8588.4710721048
2018-02-12,8077.25,8995.0,8067.0,8899.0,15071.04029684,130557481.61167,8662.8048920448
2018-02-11,8560.0,8560.0,7820.0,8067.0,12711.7858457,103542540.61432,8145.3968680053
2018-02-10,8693.98,9090.8,8170.86,8560.0,14670.55870203,127082570.69048999,8662.4220162045
2018-02-09,8259.42,8779.62,7753.32,8693.98,18418.11709042,152040059.86472,8254.9187367149
2018-02-08,7588.01,8644.36,7565.5,8259.76,22746.39118112,187157997.65798,8228.0303793124
2018-02-07,7737.26,8649.0,7213.8,7588.01,32640.89253754,260674865.84427997,7986.1439310975
2018-02-06,6878.65,8150.0,5920.72,7737.37,70961.36965826,487504446.04308,6869.997695800401
2018-02-05,8190.78,8335.56,6600.0,6874.27,46544.42880431,342210634.64875,7352.3436303736
2018-02-04,9225.31,9350.09,7825.0,8191.0,19110.67246079,162005632.56055,8477.2334878818
2018-02-03,8838.29,9491.2,8170.71,9225.86,16208.37411342,144713399.47199,8928.3106657917
2018-02-02,9010.87,9096.79,7625.25,8838.83,44406.01982931,373423805.07552004,8409.3059119214
2018-02-01,10148.99,10187.56,8455.0,8998.99,26356.58883931,243067799.59754,9222.2783866101
2018-01-31,9971.0,10324.0,9514.96,10149.0,12743.50947059,126723437.33568999,9944.1553073072
2018-01-30,11162.62,11222.36,9731.2,9971.0,21082.19252764,219169216.36012,10395.940368762
2018-01-29,11685.58,11820.01,10991.0,11162.62,9996.35689848,112806531.76197,11284.764330405
2018-01-28,11446.54,11989.15,11360.52,11685.58,9956.09249576,116531522.53333999,11704.543984798
2018-01-27,11093.74,11630.47,10815.84,11446.54,10309.80746248,116376809.51695,11287.971180885
2018-01-26,11140.01,11635.0,10263.32,11092.95,15074.66641243,164020352.51582,10880.52949421
2018-01-25,11400.98,11741.82,10868.57,11155.54,10212.92183381,115421975.02513999,11301.562559995
2018-01-24,10848.99,11500.0,10488.13,11400.96,11646.79059794,128825119.67868999,11060.997327579
2018-01-23,10810.0,11409.87,9927.54,10851.82,17250.17614645,184369293.73459,10687.965860136
2018-01-22,11558.87,11910.78,10028.41,10808.99,17067.72925582,186028930.55173,10899.454037701
2018-01-21,12782.99,12791.88,11100.0,11558.87,11596.44128787,137150604.6405,11826.956325296002
2018-01-20,11560.82,13052.12,11515.94,12775.99,10324.05733414,128912075.53121999,12486.571060093998
2018-01-19,11290.9,12050.39,11025.18,11552.0,13203.25567513,151834406.42114,11499.770220093
2018-01-18,11199.0,12146.0,10693.0,11247.57,22195.26202056,256082649.97875,11537.716911903999
2018-01-17,11393.97,11794.07,9222.0,11191.35,41356.1897379,433168120.05249,10474.081940279
2018-01-16,13581.66,13607.04,10162.0,11386.34,38789.88308789,457725763.36584,11800.13258428
2018-01-15,13647.99,14394.36,13429.25,13607.04,9444.63530824,131049852.36483999,13875.586307763999
2018-01-14,14197.78,14365.81,13072.22,13647.99,7588.63558972,102783826.66084,13544.44095327
2018-01-13,13829.28,14619.1,13789.42,14197.78,7488.98701847,106595650.09047,14233.654007889
2018-01-12,13249.99,14152.19,12807.27,13781.41,13433.08481363,183399343.51663998,13652.809169384
2018-01-11,14899.99,14973.07,12800.0,13243.83,19630.07517112,266846190.80782002,13593.742687262
2018-01-10,14403.51,14900.0,13412.0,14890.02,18479.01253046,261210687.02947003,14135.53276177
2018-01-09,14999.99,15367.18,14123.97,14403.51,13913.52469368,204579121.58441,14703.615804652
2018-01-08,16173.98,16300.0,13900.0,14999.99,16676.34994239,251877784.14267,15103.891739667
2018-01-07,17142.43,17149.97,15707.16,16124.02,8632.81384337,141555094.16036,16397.329622609
2018-01-06,16927.99,17234.99,16220.0,17149.67,9501.01675546,158389594.51445,16670.804671871
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91467956,259695892.85336,15982.353158642
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859256,222160244.4909,14806.716155435
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.00119668,183639413.73724,14960.439579176002
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.66930279,229138844.07687998,14057.883004882
2018-01-01,13880.0,13941.75,12801.38,13443.41,7688.0306846,102815718.45172,13373.479200294
2017-12-31,12640.0,14296.06,12491.21,13880.0,11583.41864698,154552644.47156,13342.576072035
2017-12-30,14351.0,14463.28,12050.0,12640.0,21749.67444609,285985550.32365,13148.957747966
2017-12-29,14436.99,15111.0,13998.0,14340.0,13505.70299216,195727638.76896,14492.221462487
2017-12-28,15390.05,15474.19,13500.0,14470.07,16557.21732271,234428578.53875,14158.694300473
2017-12-27,15764.45,16480.52,14484.0,15364.93,15643.75488215,241860985.13002998,15460.545562881001
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16401761,230922569.15497002,15342.505661673998
2017-12-25,14107.87,14650.0,13210.0,13911.28,11564.54433309,161347357.0787,13951.899221573998
2017-12-24,14619.0,14619.1,12488.0,14157.87,18519.48932254,250476423.64496002,13525.017849175
2017-12-23,13980.0,15756.22,13496.48,14619.0,21786.4086642,322120599.55537003,14785.392329700002
2017-12-22,15600.0,15795.61,11159.93,14009.79,57444.88580326,772143020.63877,13441.458013917
2017-12-21,16466.98,17281.17,15005.0,15600.01,20377.86043859,326730689.64542997,16033.611115851001
2017-12-20,17700.0,17950.0,15343.04,16466.98,31172.228806700004,521350550.60848,16724.840364845
2017-12-19,18940.58,19160.79,16831.26,17700.0,21528.13766503,387206242.38184,17986.053805797
2017-12-18,18953.0,19220.0,17835.2,18940.57,14678.94144797,273533539.40283,18634.418590221
2017-12-17,19187.78,19666.0,18465.0,18953.0,9749.24915462,186310530.76466998,19110.24406186
2017-12-16,17477.98,19377.0,17269.99,19187.78,9761.22080853,179906034.63695,18430.689989078
2017-12-15,16404.99,17934.0,16337.19,17471.5,18998.38813709,329337014.76427,17334.99770548
2017-12-14,16245.02,16830.45,15852.69,16404.99,13409.52428786,219263192.46054,16351.302831753
2017-12-13,16650.01,17107.03,15497.69,16250.0,17136.705858200003,281640493.78952,16434.926065721
2017-12-12,16470.0,17428.42,15967.29,16650.01,13517.89210328,227842348.69952002,16854.872561398002
2017-12-11,14690.99,17270.0,14677.19,16470.0,16583.72315538,270203844.28468996,16293.316148191001
2017-12-10,14601.01,15385.0,13011.0,14691.0,18487.98304099,263150668.00414,14233.606090005
2017-12-09,15799.87,15998.5,12701.05,14607.49,16587.47292694,238909072.56332,14402.981913858
2017-12-08,16599.99,16666.66,13482.42,15800.0,25473.39531065,389366035.09339,15285.203654441999
2017-12-07,13623.0,16615.62,13085.9,16599.99,25787.67655646,382694044.13062996,14840.190945188999
2017-12-06,11676.99,13700.0,11659.8,13623.5,19784.87348713,250560790.30234,12664.260424275
2017-12-05,11613.07,11850.0,11384.25,11677.0,11875.0337769,138370076.16,11652.183796700001
2017-12-04,11250.0,11613.07,10850.0,11613.07,13621.481972799998,154122917.897,11314.695288200002
2017-12-03,10875.68,11800.01,10513.16,11250.0,14238.525877000002,160176290.442,11249.4995497
2017-12-02,10840.45,11200.0,10637.69,10872.0,9267.16105468,101270084.38200001,10927.8433584
2017-12-01,9927.29,10949.89,9370.11,10840.45,16708.0322485,171881760.618,10287.3730468
2017-11-30,9833.7,10618.29,9000.0,9947.67,25433.4583637,247093850.76299998,9715.30679115
2017-11-29,9877.63,11395.0,9250.0,9824.68,33432.3399621,346949562.20199996,10377.663142799998
2017-11-28,9708.06,9968.0,9582.25,9868.82,11214.929931100001,110496755.84799999,9852.64790115
2017-11-27,9278.99,9721.7,9267.0,9708.07,13272.452540100001,126458117.66600001,9527.86361707
2017-11-26,8718.0,9366.6,8538.2,9271.06,12021.215487000001,108525815.449,9027.85708869
2017-11-25,8199.83,8737.0,8114.78,8717.99,11611.6663789,97628924.7872,8407.83067663
2017-11-24,7988.96,8340.0,7876.0,8199.19,9289.98925704,75751868.7454,8154.13954198
2017-11-23,8214.69,8279.76,7980.0,7989.0,7811.79339997,63644740.3949,8147.263648199999
2017-11-22,8095.19,8310.89,8045.76,8214.69,8078.58080138,66215711.7122,8196.45347867
2017-11-21,8226.14,8354.46,7770.0,8095.23,13686.511238699999,110811263.491,8096.38494125
2017-11-20,8016.58,8269.99,7900.0,8226.17,8179.45772727,66366007.8084,8113.74176887
2017-11-19,7775.55,8087.35,7675.0,8016.58,8307.77750857,65332064.6474,7863.96416851
