Date,Conf. Time,Block Size,TXN Cost,Difficulty,TXNs per Day,Hash Rate (GH/s),Market Cap,Miners Revenue,TXNs per Block,Unique Addresses,Total BTC,TXN Fees
2018-05-15,10.383333333300001,0.872704272727,69.5332530962,4143878474750.0,209697.0,27191117.7506,147377631315.0,14284515.2883,1588.61363636,469797.0,17033862.5,305051.324516
2018-05-14,8.0,0.576345047297,102.96262222899999,4143878474750.0,158794.0,30487010.8113,148651217813.0,16146155.5833,1072.93243243,364084.0,17032212.5,203691.05092100002
2018-05-13,6.85,0.644236684848,97.442635439,4143878474750.0,182054.0,33988897.1883,144491499309.0,17498965.0,1103.35757576,434890.0,17030362.5,240856.55221300002
2018-05-12,17.925,1.0755712047200001,64.4646606696,4138123233250.0,213624.0,26161151.1691,144209062700.0,13452669.738,1682.07874016,510498.0,17028300.0,326997.72089299996
2018-05-11,7.466666666669999,0.733376694805,85.0085529224,4022059196160.0,208961.0,30790397.6546,154968340040.0,17520355.4167,1356.88961039,465045.0,17026712.5,243116.81055300002
2018-05-10,7.1,0.7329255875,91.6292617172,4022059196160.0,206579.0,31990023.5372,158705778441.0,18644083.3333,1291.11875,459142.0,17024787.5,284597.922953
2018-05-09,13.6083333333,0.9153971294959999,75.0709064157,4022059196160.0,217810.0,27791332.948000003,157096638579.0,16034706.9792,1566.97841727,480689.0,17022787.5,316487.147244
2018-05-08,14.125,0.867701386667,87.0887500616,4022059196160.0,205063.0,29990647.0661,159073456774.0,17532514.44,1367.08666667,450523.0,17021050.0,335511.603882
2018-05-07,9.48333333333,0.758401058394,97.7687478294,4022059196160.0,171761.0,27391457.6537,163896974567.0,16501238.5101,1253.72992701,386314.0,17019175.0,301249.52210500004
2018-05-06,12.575,0.726489360248,98.8865905109,4022059196160.0,202703.0,32189961.1843,166827403576.0,19738957.9733,1259.02484472,450117.0,17017462.5,315453.889668
2018-05-05,11.2,0.9738190289859999,78.2100780377,4022059196160.0,219069.0,27591395.3009,165232440779.0,16751009.25,1587.45652174,513487.0,17015450.0,382394.33565
2018-05-04,9.13333333333,0.867924701987,81.2787990295,4022059196160.0,228521.0,30190584.7133,163999860625.0,18194118.9792,1513.38410596,501839.0,17013725.0,379793.453859
