Date,Headline,Sentiment,URL
2/3/18,Crypto Rich and Paranoid: Threats Prompt Radical Security in Bitcoin Land,-1,https://www.coindesk.com/rich-and-paranoid-threats-prompt-radical-security-in-bitcoinland/
2/2/18,Former Iced Tea Maker Cancels Purchase of Bitcoin Mining Rigs,-1,https://www.coindesk.com/former-iced-tea-maker-cancels-purchase-bitcoin-mining-rigs/
2/2/18,Bitcoin Slides Towards $8K Amid Market Slump,-2,https://www.coindesk.com/bottom-in-sight-bitcoin-slides-towards-8k-amid-market-slump/
2/2/18,January's Top Large Cap Crypto? Not Bitcoin or Ether...,-2,https://www.coindesk.com/januarys-top-large-cap-crypto-wasnt-bitcoin-ether/
2/2/18,US Commodities Regulator Beefs Up Bitcoin Futures Review,-1,https://www.coindesk.com/cftc-beefs-bitcoin-futures-review-process/
2/1/18,UPS Might Be Making a Locker That Accepts Bitcoin,2,https://www.coindesk.com/ups-might-making-locker-accepts-bitcoin/
2/1/18,2-Month Low: Bitcoin Price Drops Below $9K,-2,https://www.coindesk.com/2-month-low-bitcoin-price-drops-9k/
2/1/18,Bitcoin Sinks Below $10k on $133 Billion January Loss,-2,https://www.coindesk.com/bitcoin-sinks-below-10k-following-133-billion-january-loss/
1/31/18,Square Adds Bitcoin Buying for More Cash App Users,2,https://www.coindesk.com/square-adds-bitcoin-buying-cash-app-users/
1/31/18,Bitcoin Tax Payments Bill Advances in Arizona,1,https://www.coindesk.com/bitcoin-tax-payments-bill-advances-arizona/
1/31/18,State Retirement Funds in Tennessee Could Face Bitcoin Restriction,-1,https://www.coindesk.com/state-retirement-funds-in-tennessee-could-face-bitcoin-restriction/
1/31/18,Bitcoin Back Above $10K But Gains Could Be Short-Lived,-1,https://www.coindesk.com/bitcoin-is-back-above-10k-but-gains-could-be-short-lived/
1/31/18,"Samsung Is Now Building Bitcoin Mining Chips, Report Says",2,https://www.coindesk.com/samsung-is-now-building-bitcoin-mining-chips-report-says/
1/31/18,Bitcoin Exchange Huobi to Open US Office,2,https://www.coindesk.com/bitcoin-exchange-huobi-open-us-office/
1/30/18,Facebook Is Banning Ads for Bitcoin and ICOs,-2,https://www.coindesk.com/facebook-banning-advertisements-bitcoin-icos/
1/30/18,Bitcoin's Price Falls Below $10K Amid Wider Crypto Drop,-2,https://www.coindesk.com/bitcoin-price-nears-10k-amid-wider-crypto-drop/
1/30/18,"'Bitcoin Could Alter the World,' Says Former US Senator",2,https://www.coindesk.com/bitcoin-could-alter-the-world-says-former-u-s-senator-judd-gregg/
1/30/18,$10K Exposed? Bitcoin Bulls Fail to Defend Price Floor,-2,https://www.coindesk.com/10k-exposed-bitcoin-bulls-fail-to-defend-price-floor/
1/30/18,Bitfury Enters Bitcoin Crime-Fighting Business,1,https://www.coindesk.com/bitfury-enters-bitcoin-crime-fighting-business-crystal-launch/
1/29/18,UK Crypto Trader Forced to Hand Over Bitcoin at Gunpoint,-1,https://www.coindesk.com/uk-crypto-trader-forced-to-hand-over-bitcoin-at-gunpoint/
1/29/18,Bitcoin Exchange BTCC Just Got Acquired,1,https://www.coindesk.com/bitcoin-exchange-btcc-just-got-acquired/
1/29/18,Japanese Electronics Retail Giant Launches Bitcoin Payments,2,https://www.coindesk.com/japanese-electronics-retailer-launches-bitcoin-payments/
1/29/18,Bitcoin Price Looking Heavy As News Turns Negative,-2,https://www.coindesk.com/bitcoin-price-looking-heavy-news-turns-negative/
1/29/18,Can Bitcoin Be Destroyed? 7 (Unlikely) Paths to Irrelevance,-1,https://www.coindesk.com/can-bitcoin-destroyed-7-unlikely-paths-irrelevance/
1/26/18,"Starbucks Chairman Is Hot on Blockchain, Cold on Bitcoin",-2,https://www.coindesk.com/starbucks-chairman-hot-blockchain-cold-bitcoin/
1/26/18,Bitcoin Price Seeks Direction as Trading Range Narrows,0,https://www.coindesk.com/bitcoin-price-seeks-direction-as-trading-range-narrows/
1/25/18,Bitcoin Startup BitGo to Buy Asset Custodian,1,https://www.coindesk.com/bitgo-acquires-kingdom-trust/
1/25/18,Bitcoin Takes Davos Stage in Currency Panel Debate,0,https://www.coindesk.com/bitcoin-takes-the-stage-at-davos-in-currency-panel-debate/
1/25/18,"Bitcoin Won't Cause Lehman-Style Meltdown, Says MAS Fintech Chief",1,https://www.coindesk.com/bitcoin-wont-cause-lehman-style-meltdown-says-mas-fintech-chief/
1/25/18,'Micro' Finance Giant Robinhood Makes Big Bet on Bitcoin,2,https://www.coindesk.com/micro-finance-giant-robinhood-makes-big-bet-on-bitcoin-trading/
1/25/18,Bitcoin Dev Jimmy Song Is Now at Blockchain Capital,0,https://www.coindesk.com/bitcoin-dev-jimmy-song-is-now-a-blockchain-capital-partner/
1/25/18,"Bitcoin Bull Reversal Sighted, But Momentum Proves Weak",-1,https://www.coindesk.com/bitcoin-bull-reversal-sighted-momentum-proves-weak/
1/24/18,Bitcoin Exchange Hit By Armed Robbers in Thwarted Theft,-2,https://www.coindesk.com/canadian-bitcoin-exchange-hit-armed-robbers-police-say/
1/24/18,Rapper 50 Cent Is Now a Bitcoin Millionaire,1,https://www.coindesk.com/rapper-50-cent-now-bitcoin-millionaire/
1/24/18,'Not True': Goldman Denies Bitcoin Trading Rumor,-1,https://www.coindesk.com/not-true-goldmans-blankfein-denies-bitcoin-trading-desk-rumor/
1/24/18,Bitcoin Demand at $10K Hints at Move Higher,1,https://www.coindesk.com/building-a-base-bitcoin-demand-at-10k-hints-at-move-higher/
1/23/18,"Amazon User Orders Bitcoin Miner, Gets 'Boss Baby' DVD Instead",0,https://www.coindesk.com/amazon-user-orders-bitcoin-miner-gets-boss-baby-dvd-instead/
1/23/18,Payment Processor Stripe to End Support for Bitcoin,-2,https://www.coindesk.com/stripe-to-end-support-for-bitcoin-transactions/
1/23/18,Goldman Sachs Report Warns Investors of Bitcoin 'Bubble',-2,https://www.coindesk.com/goldman-sachs-warns-investors-of-bitcoin-bubble-in-new-report/
1/23/18,Bear Grip Strengthens as Bitcoin Price Nears $10K,-2,https://www.coindesk.com/bear-grip-strengthens-as-bitcoin-price-nears-10k/
1/23/18,How to Save on Bitcoin's Soaring Fees,1,https://www.coindesk.com/save-bitcoins-soaring-fees/
1/22/18,"Bitcoin Slides More Than 10 Percent to Near $10,000 Level",-2,https://www.coindesk.com/bitcoin-slides-10-percent-near-10000-level/
1/22/18,"Bitcoin Defends $11,000 Mark and Eyes Move Higher",1,https://www.coindesk.com/bitcoin-defends-11000-mark-and-eyes-move-higher/
1/20/18,Lightning Network May Not Solve Bitcoin's Scaling 'Trilemma',-1,https://www.coindesk.com/lightning-network-may-not-solve-bitcoins-scaling-trilemma/
1/20/18,Battle-Testing Lightning: Schools Start Contest to Secure Bitcoin's Layer 2,0,https://www.coindesk.com/battle-testing-lightning-26-schools-start-contest-secure-bitcoins-layer-2/
1/19/18,Stuck at $12K: Bitcoin Price Needs Quick Progress to Avert Further Losses,-2,https://www.coindesk.com/stuck-at-12k-bitcoin-price-needs-quick-progress-to-avert-further-losses/
1/18/18,Bitcoin Devs Release Long-Awaited Schnorr Paper for Scalability Gains,1,https://www.coindesk.com/bitcoin-devs-release-long-awaited-schnorr-paper-for-scalability-gains/
1/18/18,Virginia Beach Government Backs Bitcoin Mine With $500K Grant,2,https://www.coindesk.com/virginia-beach-government-backs-bitcoin-mine-with-500k-grant/
1/18/18,"Bitcoin Is Back Above $11,500, But Bulls Not Out of the Woods Yet",1,https://www.coindesk.com/bitcoin-is-back-above-11500-but-bulls-not-out-of-the-woods-yet/
1/17/18,Milestone: Cboe's First Bitcoin Futures Contract Expired Today,-1,https://www.coindesk.com/cboes-first-bitcoin-futures-contract-expired-today/
1/17/18,"Bitcoin's Price Drops Below $10,000 for First Time Since Early December",-2,https://www.coindesk.com/bitcoins-price-drops-below-10000/
1/17/18,"As Bitcoin's Slide Continues, Prices Look Towards $8K",-2,https://www.coindesk.com/as-bitcoins-slide-continues-prices-look-towards-8k/
1/17/18,"To Understand Bitcoin, I Studied Karl Marx",0,https://www.coindesk.com/understand-bitcoin-studied-karl-marx/
1/17/18,Blockstream Launches Micropayments Processing System for Bitcoin Apps,1,https://www.coindesk.com/blockstream-launches-micropayments-processing-system-for-bitcoin-apps/
1/17/18,The Sidechains Breakthrough Almost Everyone in Bitcoin Missed,0,https://www.coindesk.com/sidechains-breakthrough-almost-everyone-bitcoin-missed/
1/16/18,"Mark Cuban: Dallas Mavericks to Accept Bitcoin, Ether 'Next Season'",1,https://www.coindesk.com/mark-cuban-dallas-mavericks-accept-bitcoin-ether-next-season/
1/16/18,Down 14 Percent: Bitcoin Charts Bearish Amid Asia Concerns,-2,https://www.coindesk.com/down-14-percent-bitcoin-charts-bearish-amid-asia-concerns/
1/16/18,"Bitcoin's Price Just Dropped Over $1,300 in 1.5 Hours",-2,https://www.coindesk.com/bitcoins-price-just-dropped-over-1300-in-1-5-hours/
1/15/18,Mississippi Doctors Sued Mt. Gox for Bitcoin Loss Now Worth $133 Million,0,https://www.coindesk.com/mississippi-doctors-sued-mt-gox-for-bitcoin-loss-now-worth-135-million/
1/15/18,$15K in Sight? Bitcoin Prices Gather Upside Traction,2,https://www.coindesk.com/15k-in-sight-bitcoin-prices-gather-upside-traction/
1/15/18,"No, You Don't Have to Buy a Whole Bitcoin",0,https://www.coindesk.com/no-dont-buy-whole-bitcoin/
1/13/18,What the Data Tells Us About Bitcoin in 2017,0,https://www.coindesk.com/bitcoin-2017-stats/
1/12/18,Upside Break on the Way? Zcash Eyes Gains Against Bitcoin,-1,https://www.coindesk.com/upside-break-on-the-way-zcash-eyes-gains-against-bitcoin/
1/12/18,Bitcoin Eyes Consolidation as Price Flirts with $14K,-1,https://www.coindesk.com/bitcoin-eyes-consolidation-as-price-flirts-with-14k/
1/12/18,Jonas Schnelli Wants You to Run a Bitcoin Full Node,1,https://www.coindesk.com/jonas-schnelli-wants-run-bitcoin-full-node/
1/11/18,Arizona Lawmakers Want to Let People Pay Taxes in Bitcoin,2,https://www.coindesk.com/arizona-lawmakers-want-let-people-pay-taxes-bitcoin/
1/11/18,US Marshals Service to Auction Off $54 Million in Bitcoin,1,https://www.coindesk.com/us-marshals-service-to-auction-off-3800-bitcoins/
1/11/18,Bitcoin Price Stays Heavy Amid Korean Regulatory Reports,-2,https://www.coindesk.com/bitcoin-price-stays-heavy-amid-korean-regulatory-reports/
